Sentences,label
Most of the actors are graduates or working in their own theatre company so maybe some networking will come of this,joy
The point of this spiel was,joy
I can't imagine my bedroom without all these books,joy
And by extension,joy
This awesome program,joy
barely touching upon these cultures and these texts,joy
I had bought him a flask with the Latin inscription Te Amo on it,joy
He had bought me a statue of the,joy
I spoke with the Earth the sky and everything I feel is real,joy
There are so many things we think we know convince ourselves are real,joy
Heh,joy
we claim that our perception of reality is real,joy
Of course they are,joy
Phil,joy
ps Where did my sanity go?,joy
So I'm sittin' at the C Dubs bar right now on Chun's computer typing a blog to update all you people out there!,joy
So Adam and I went to App State to go hiking,joy
Other than that as usual I've been working like whoa,joy
As a matter of fact she called me this morning and told me that she was going to Upstate New York to go to her cabin,joy
That would be so awesome!,joy
Snow in October!,joy
I haven't even seen snow in years and to have it in October it too much to wrap around my little head!,joy
Miss you guys!,joy
Other than all of this I'm still trying to move upstairs and it looks like Tuesday will be the day,joy
We'll see though it keeps changing!,joy
I can honestly say my views of the world I live in changed while in high school,joy
When they were together everyone was equal,joy
Which was such a contrast when compared to the small group I belonged to,joy
I began pushing for the group to start doing more for themselves and for everyone else that was around them,joy
There were also other various events that I ended up doing on my own due to the lack of interest from others in my group,joy
I actually thought I was making a difference,joy
and then it happened,joy
My son,joy
he's 12 is upstairs practicing his trombone,joy
This is his first year in band,joy
Every now and then,joy
My husband who was not going to work today,joy
decided to go to work,joy
How nice for him,joy
But,joy
I wonder how long he will practice for?,joy
(Mike James Victoria and I),joy
(look at my pics),joy
(leslie steve mark aj and josh),joy
add some jack and cokes and a wendy's drive through and it's a REAL party!!,joy
My bro is leaving for Iraq again and well you know how that goes,joy
UGH!,joy
(well it could have been better if,joy
well you know,joy
Ok Here is how yeterday went,joy
Joe and Matt picked me up and took me over there,joy
I rode on the firetruck w/ the cheerleders and v-ball players,joy
lol,joy
I threw Mardi Gras Beads at Matt and Joe,joy
hehehehhe EICON1 neeeways,joy
after that we went to Wal-mart and walked around,joy
then went home and got ready for the game,joy
EICON1 At the game,joy
the band perfomed,joy
WE WERE TOTALLY AWESOME!!!!,joy
lol,joy
We won by several of points,joy
yay!!!!,joy
lol,joy
was so awesome,joy
EICON1 hehehehe,joy
Its soooo sad b/c it was my last one EICON2,joy
lol,joy
but yea,joy
EICON1 *sighs* lol,joy
Here I am again!,joy
Broadcasting this time from the New World,joy
It's been a solid half year since I sent word out and I will now attempt to encapsulate the last six months into one last epic email,joy
So to the task!,joy
Well,joy
I believe it was April and spring had just arrived,joy
He had arrived twenty minutes beforehand at the hostel hadn't even checked in yet and just happened to be in the lobby when I was,joy
So he just took his backpack with him and came on my tour,joy
We had a great time catching up and went out that night together as well,joy
The rest of April passed rather uneventfully and in May I went to see a production of Faust Part I at the Deutsches Theater,joy
It's moments like that that remind me why I've chosen theatre as a profession,joy
I saw most of the major sites on my own and I went to the theater almost every night I was there,joy
Horribly acted horribly directed weak script,joy
And interminably long!,joy
It was nice to understand that just wish I didn't have to experience it first hand,joy
While in London I also saw Coriolanus at the Globe Theater,joy
Now this was amazing,joy
Shakespeare old school,joy
The performers were incredible and one of the generals was played by Geoffrey the butler from Fresh Prince of Bellaire,joy
Loved London,joy
Loved the free museums,joy
Especially the British Museum,joy
Great East London accents,joy
Soooo many monuments including two statues in front of Buckingham Palace that had a conspicuous Communist message,joy
It was a worker with a hammer and a peasant woman with a sickle situated behind Queen Victoria's back and glowering at the palace,joy
Now maybe I was just reading too much into this or maybe I had spent too much time in the eastern bloc talking about Communist symbolism,joy
But I don't' think so,joy
And the funniest part the two statues said they were donated by New Zealand,joy
Curious,joy
After London came the World Cup,joy
That changed very quickly,joy
Then there were the Brazilians everywhere singing-clapping-dancing-taking pictures and of course the pale and pasty Brits with their cock-eyed stares and drinking songs,joy
Now this merits explaining: before the World Cup began if you waved a German flag in the streets you would probably be called a Nazi and at the very least labeled as a radical right wing nutter,joy
So,joy
In fact the entire month of June was one continuous debate in the media between prominent politicians celebrities writers (such as Guenther Grass and Christa Wolf) and other intellectuals about the meaning origin and impact of this nationalism,joy
And of course no one can laboriously dissect an idea better than the Germans,joy
In June I had also been training at work to lead tours of Sachsenhausen Concentration Camp which I started at the end of the month,joy
I ended up doing tours out there for the duration of the summer,joy
I was planning on going to Greece sometime anyway so we spent three days in Athens and two and a half in Cyprus,joy
Now take into account that said air conditioners are mounted on the windows sticking out over the street,joy
Now add a couple of poorly placed ancient columns,joy
But it was close,joy
But two days back to back was more than enough,joy
Now this was really amazing,joy
The sky is so amazing in Greece it feels like you could really reach up and touch it it's so close!,joy
Just FYI,joy
They also bake bread for you on the plane so that your in flight meal is fresh,joy
Cyprus was amazing,joy
We stayed in a tiny mountain village called Droushia and these people brought hospitality to incredible new heights,joy
And they weren't kidding,joy
What's more we had the whole place to ourselves,joy
It was really interesting staying with them in this little mountain village and getting to experience a bit of what their culture was all about,joy
They make their own very strong coffee and Haloumi cheese which we were told (a hundred different times by all the little old ladies) was goat cheese,joy
But not feta,joy
Haloumi,joy
Haloumi has nothing to do with Feta,joy
Its really a testament to the vision of the ancients that in our world of skyscrapers and technical gadgetry we are still fascinated by a two thousand year-old arrangement of stones,joy
After returning from Greece my last few weeks in Berlin passed very quickly,joy
I was leading loads of tours and working on a short film I was directing,joy
Lance and I spent the better part of the next three days lounging around Zurich and drinking in Switzerland,joy
People say London or Paris is expensive; no,joy
Zurich is expensive,joy
We had a ball in Zurich,joy
After our detox detour en Suisse we headed via night train to Paris,joy
So many public spaces parks museums gardens,joy
And people are out in them all the time,joy
There was a fabulous sense of community there,joy
So we went across the street to the park it was about 2:00 pm,joy
There were people all over the place and lots of benches and chairs,joy
We noticed that about half of the chairs were slanted at a 45 degree angle,joy
I thought: that's strange what's that about?,joy
Well when in Rome,joy
so we did the same,joy
Had a little hour sleep got back up and headed back into the colossal Louvre for another few hours,joy
Vive la France!,joy
We really had a ball in Paris,joy
The most interesting thing we learned on the bike tour was that when the revolutionaries stormed the Bastille there were only 7 prisoners left in it,joy
Thus is my two year Grande Tour at an end,joy
It took me to 11 different countries and incalculable new experiences,joy
I've returned ready for a fresh start collecting new experiences on this side of the pond,joy
The last few weeks I've been in Lubbock trying to readjust to life in America and spending lots of time with my family,joy
It was a Commedia dell'Arte piece titled The Red Hat and went extremely well,joy
It was a nice way for me to get to stretch those theater muscles and earn a little something at the same time,joy
And though my European adventure is over (for the moment) my American one starts tomorrow,joy
I'm moving to Chicago Sunday morning in the hopes of getting started there as an director and performer,joy
There was a lot to pack in,joy
So,joy
first day of school,joy
Yeah,joy
My classes all seem fine,joy
Except math,joy
But math just sucks and I've accepted that,joy
Some of my teachers seem quite amazing and others I know for a fact to be amazing,joy
Ah well,joy
It's nothing a strong woman such as myself cannot handle with a little bit of DragonForce and mental pep talks,joy
I can come through this year triumphantly and with grace,joy
I have looked forward to this year even before last year ended,joy
This is the year where everything happens,joy
This is the year when I get to test myself: my mind my body and myself,joy
This is my first year where I am truly Nyssa Jane Towsley,joy
Ah well,joy
It's nothing a strong woman such as myself cannot handle with a little bit of DragonForce and mental pep talks,joy
I can come through this year triumphantly and with grace,joy
I have looked forward to this year even before last year ended,joy
This is the year where everything happens,joy
This is the year when I get to test myself: my mind my body and myself,joy
This is my first year where I am truly Nyssa Jane Towsley,joy
Edit:,joy
I need to just,joy
Paul,joy
I think I'd really like to talk to you right now,joy
Blar,joy
at least they punched holes in it) that is my BIO lab course book,joy
That's like four or five or more meals!,joy
Or a new pair of jeans!,joy
Or two meals in Europe,joy
Poopy poopy poopy,joy
*cries* Such is life I spose EICON2,joy
I forgot how demeaning BME classes are,joy
Dr Roy my prof for BME 314 expects us to have taken an Anatomy/Physiology class at some point in our lives,joy
I haven't,joy
He was asking all these questions that I was completely baffled by and people were just spouting answers,joy
Sometimes I wonder how in the world I made it in and every day I wonder how I'm going to make it through,joy
I mean we already need 133 (ish) hours to graduate which for you non college people is about 8-10 more than any engineering major and more than that more for a non engineering major,joy
I dont' know where that is yet,joy
I'm going to finish my book before I go to bed,joy
I think I spent the better part of two hours reading today,joy
I learned that the Life Sciences library in the main building has exceedingly comfortable couches Anyhoo,joy
I spose I'm off for now,joy
wherever,joy
These are all unlikely but they happen,joy
I see it everyday on the news,joy
Should I strive to be in someone's history book as the dude that invented,joy
rebuilt,joy
saved,joy
rescued,joy
wrote,joy
governed,joy
I could live in a suburban house environment with a family a few cars a boat and a dog in the back yard?,joy
Does an afterlife really exist?,joy
That's one hour a week,joy
There would be a constant trepedation that there is no gold at the end of that rainbow,joy
Different songs keep on playing,joy
Its all official we sorted it out at the civic centre on Friday,joy
Its a funny old game life but I think I am one step closer to understanding its purpose and meaning now,joy
I wept for all the mistakes I made where I put my feelings before the feelings of others,joy
I wept for all the times I said f*ck you instead of thank you,joy
can you buy it?,joy
can it be sold?,joy
can you get there and back on a half tank of gas?,joy
I think you can,joy
We are all essentially the same person,joy
other then physical attributes - what really makes us so different from one another,joy
Theoretically,joy
is there anything that Einstein did that I couldn't do,joy
we both have the same tools (a brain) so why can't I come up with a grad theory of relativity,joy
Simply because that is not where I have been directing my energy to,joy
The brain is an amazing tool and can be sculpted for any purpose,joy
however most people don't exert the mental energy required to expand your train of thought,joy
Have you ever met anyone without a fully developed brain?,joy
They look at things only on the surface and read into nothing,joy
Listlessly they scratch at there head and the chains of thought don't delve to deep,joy
I think it is very easy to understand people once you realize that all people carry all the same personalities - just expressed to different proportions and degrees,joy
Whatever thought can be imagined - someone has taken that to the extreme,joy
the combination of all people balanced into one,joy
as defined by the dictionary,joy
Balanced,joy
(of a person or state of mind) having no emotion lacking or too strong; stable : a balanced personality,joy
but when you try to become your own mental chemist - ingesting chemicals to alter your feelings - you screw up the balance,joy
The testes stop producing testosterone because it senses there is already too much testosterone in the system,joy
For example - the more you use chapstick - the less your lips produce their own moisture - making you further dependent on chapstick,joy
So this morning I get a phone call from my sister,joy
Third she starts asking why I have only posted pics so my dear sister this is for you,joy
She wouldn;t come down today so instead of being bored out of my mind I went antiquing,joy
I figure I have a couple extra bucks so I budget a certain amount,joy
Ok I spent 4 times what I budgeted but I wanted that desk,joy
I almost bought this cool shiney glass tumbler up thingy,joy
I was dragged away (it will be there tomorrow and I can go back alone),joy
Ok the alignment was out on her BMW when she bought it and it wiped out the tires,joy
I tend to think not,joy
She said that a mechanic told her that the frame was bent,joy
I called the mechanic and inquired about it,joy
On that car it won't affect alignment,joy
I have twice the work experience required for the job and I have alot more schooling than is required,joy
I got her less than $50000 back,joy
So when she writes her letter to the Commissioner and the director of vehicle safety reads my report he will understand why I appear not to take her side,joy
I made lunch for a luncheon at work yesterday,joy
They saw what I meant when they started eating it,joy
They went back for more,joy
They all complimented on it,joy
He's a great guy and I think the world of him,joy
Ok I've said enough,joy
I need to figure what I'm going to throw out so I can move that desk from the middle of the dining room to one of the 2 rooms upstairs I occupy,joy
For instance if I feel sad because I have not seen my family in a long time my need for connection has not been met,joy
Probably too many to count,joy
So what can we do?,joy
We can become conscious of what is going on inside us,joy
Marshall Rosenberg author of Nonviolent Communication has a four-step process for communication that incorporates identifying our feelings and needs into the model,joy
Rosenberg also calls this four step process giraffe language,joy
He coined it giraffe language because the giraffe has the largest heart of all the mammals,joy
The heart is about 3 feet long and 3 inches thick all around,joy
If we are not correct they will correct us and we will be closer to identifying the need they have and finding a way to resolve the situation,joy
By satisfying our needs and the needs of others we can reach a fair negotiation,joy
We can make a list of these feelings and be on the look out for them,joy
Then when we are calm focus on sharing our feelings and needs with others,joy
For more information on Nonviolent Communication click here,joy
Highlights:,joy
- Help out with a conference at Bouremouth with the Conservative party had the 'privelage' of taking of THe Mr Cameron and his whole entourage,joy
- going on training next week can't wait to get pissed with all the graduates,joy
Sorry for the rather crappy update will try to do a proper one later,joy
YAY!!!,joy
Dec 20 till 30th!,joy
I,joy
I haven't been quite in my head Dad woke me up early because he brought breakfast home and then I went back to bed,joy
I didn't go with my parents to Grandma's,joy
neh,joy
But oh well,joy
Cassy agreed,joy
Yep and thats basically it,joy
neh,joy
I need something better to do I'm just loafing around on Gaia like I always do,joy
I probably won't take a shower until my parents get back,joy
Yep,joy
I dunno what else to say though except it's shocking that I'm updating early,joy
AGAIN,joy
Other than that I also got a extension from my affiliate to get the fanlisiting I adopted up since the server move and etc Meh I miss Cassy,joy
T_T eheh,joy
Though I was allowed to stay up until 1 AM last night,joy
But heh thats basically it,joy
Theres nothing left to say so this is the end of my journal entry,joy
Well short one anyway,joy
This is my update for today and I am off,joy
It's the veils,joy
Yes the veils that many Muslim women around the world traditionally wear,joy
I'm not going to get into the wrongs and rights just to give a bit of perspective,joy
Listen,joy
Let's clarify,joy
Hijab is a headscarf that covers the hair and usually wraps around the neck,joy
The veil is often interpreted as being the ninja outfit where womens heads are completely covered so as to see only the eyes or in some cases nothing at all,joy
Taleban style if you will,joy
This is called the nikab,joy
For clarification the difference should be noted,joy
Hijab in Islam actually means modesty or privacy,joy
And it is believed that women should practice modesty both for themselves but to keep the gazing eyes of man down,joy
The khimar is the actual headscarf,joy
The veil that covers the entire face is called the nikab,joy
Islam requires women to be modest henceforth many of them wear the hijab or headscarf,joy
The nikab or taliban style cover is not an Islamic practice,joy
A Fatwa or Islamic legal pronouncement makes it clear that women are not obliged to wear nikab - but rather this is a cultural issue within more conservative or radical interpretations of Islam (just like the west has some Christian right wackies),joy
It most certainly raised even more anti-Muslim sentiment but also more anti-French sentiment even amongst it own non-Christian communities,joy
Jack Straw is calling for a ban of veils or nikabs in the UK,joy
Not the ban on hijabs,joy
But if the UK Muslims are listening to Mr Livingstone he's on to something,joy
He clearly stated that he feels the veils should go -- but that it should be over a period of time and from within the Muslim community,joy
Not to mention that many Muslim women scholars are saying women should thank Jack Straw for this,joy
I'm by no means an expert on veils,joy
What I do know is that there are many many woman who absolutely voluntarily and willingly cover themselves with a headscarf for religious purposes,joy
So the voluntary and involuntary,joy
The Brits haven't ventured that far they accept the head scarf but oppose the ninja turtle look,joy
Turkey has a similar issue,joy
In its bid to become a secular society -- and to integrate into the unwelcoming arms of the European Union it has forbidden even the nikab and in some places even the hijab in public schools and universities,joy
Sarajevo now has a large female Turkish population coming to study here so they can wear what they wish,joy
Bosnian Islam is very secular and indeed seen by most European leaders as a model example of the type of Islam they want being taught in their increasing number of mosques and madressa's within the EU,joy
The question of hijab and nikabs hasn't come up yet here in Bosnia,joy
The hijab is accepted and tolerated as are the nikab wearers (which is an extremely small percentage of Muslim women),joy
The progressive west is certainly faltering when it comes to questions of its growing Muslim populations and addressing the cultural and religious difference between east and west,joy
This door has to swing both ways,joy
The west must do more to grasp the concepts of Islam - and understand the vast cultural differences even with the large and diverse Muslim community which covers three continents,joy
If western women can run around half naked can eastern women completely cover themselves?,joy
Is there really a difference?,joy
We all need to take the veils off,joy
and look at each other eye to eye,joy
Brother to brother face to face let's unite the human race,joy
I'm EXTREMELY sad to say that it looks as though The Skyline Obscura will be on an indefinate hiatus as of this past Thursday,joy
With that some of the new songs that never were will be posted shortly for those of you who want to hear it,joy
Sorry for the letdown and I can't speak for everyone else but I'd rather have this happen now than later,joy
Feel free to contact any of us individually about this if you feel so compelled as nobody's really going to be monitoring this site any more,joy
(our individual pages are under the members section),joy
Thanks for the support!,joy
You'll all receive notices of any Skyline updates and/or updates of new projects involving anyone from TSO (past or pseudo-present),joy
Take care of each other,joy
Well my MIL arrived yesterday,joy
My SIL and niece came over yesterday afternoon to collect our great-nephew Brandon,joy
He wanted B to stay at least for today so that he had a day off to play with him,joy
Brandon's dad Michael is improving,joy
Hey how has everyone been lately?,joy
It's been a while,joy
and there has been so much going on,joy
and it's been just a big jumble of AWOIWEJFPWKSFWEIONMQMEM!,joy
lol just kidding,joy
Especially people,joy
lol),joy
Anyway this past week has been one of the busiest ones yet for me and maybe for you too,joy
Sometimes all we need is that little encouragement or motivation to get us going again,joy
like the energizer bunny!!!,joy
:D lol wow,joy
Okay that's about it for now,joy
What I completed in one day today was not possible to me last week,joy
Today I can say I actually taught for all three of my periods,joy
I walked into my first period only to find a sub,joy
I asked the sub if he did not mind my taking over and of course he complied,joy
I figured I knew the material more than he did and more importantly I knew the students and how the class should run,joy
So the bell rang the sub introduced himself and I took over,joy
I had them write in their journals for a few minutes then proceeded to facilitate the day's assignments,joy
I allowed them 10-15 minutes to finish up the work from yesterday before we began a new piece of literature,joy
After they turned that in I introduced Poor Richard's Almanacwhich we read as a class,joy
This was a very short reading so I gave the class an assignment to go along with the reading,joy
They had the remainder of the class to complete the assignment while I went around to monitor their work and answer questions,joy
The period ran smoothly under my direction most suprisingly to me I actually liked being thrown into the situation without having prior knowledge,joy
For today's lesson I taught them how to determine the mood in a piece of literature based on the definition an example and a story out of their literature books,joy
I began my lesson by explaining what the term mood meant,joy
I explained to them that the mood of the story could be determined based on the word choice used by the author,joy
To give them a better understanding of how mood works I presented them with a paragraph that I wrote on the overhead,joy
I had them follow along as I read out loud,joy
After I was done reading my paragraph I had the students tell me what was the mood I had created,joy
Almost everyone participated and for every type of mood they came up with I had them point out places in the paragraph that helped them to determine the mood,joy
That was a segway into today's story,joy
Today we read The Talk by Gary Soto,joy
I gave a brief background on the author and the story before we began,joy
I read the first paragraph then I drew names out of my little tin container to complete the reading,joy
After certain spots I would have them go over plot summary just to make sure they were following along,joy
At the end of the story I had them do the same thing they did with my paragraph to determine the mood,joy
After a discussion I asked them to take out a piece of paper,joy
They answered on their papers then shared out as a class,joy
This completed my very first lesson for periods 3 amp; 6,joy
Wow I hardly ever have plans,joy
I went to the OVAC volleyball tournament this morning and was gone almost all day and I'm going skating with one of my friends tonight,joy
Got to go out for breakfast with the team even though I'm not a member,joy
I'm the libero tracker,joy
The libero is a defensive specialist and I have to keep track of who she goes in and out for,joy
Today rocks!,joy
She's not a skating-type person though,joy
We always try to get her to come but it doesn't work,joy
We'll just have to drag her down to the rink one of these days lol!,joy
xx I need to invest in a pair of blades,joy
I outgrew my skates and I don't like renting,joy
Plus I've heard blades are easier than four-wheels and I can use all the help I can get,joy
o___x,joy
Stephenie Meyer,joy
What can I say?,joy
She's amazing,joy
This list is very short,joy
In fact there's only about three authors whose books I will buy no matter the storyline,joy
Meyer JK Rowling and Meg Cabot,joy
And yes I read hundreds thousands of books from other people,joy
But these female writes,joy
I'm a writer,joy
I know that,joy
I'm enough of a grown-up to say it,joy
And after reading Stephenie's story about how real her characters are,joy
how they can take over her outlines,joy
The story leads me not the people who grace the page,joy
And Stephenie says that we should know our characters,joy
Sigh,joy
Well I know that a lot of my LJ friends are writers too,joy
I can tell,joy
hm,joy
Well any advice on writing would be appreciated,joy
You know you're from Massachusetts when,joy
When ordering a tonic you mean a Coke,joy
not quinine water,joy
You know how to pronounce the names of towns like Worcester Billerica Haverhill Barre and Cotuit,joy
You know that there are two Bulger brothers and that they're both crooks,joy
You know what they sell at a packie,joy
You know at least one bar where you can get something to drink after last call,joy
You can actually find your way around Boston,joy
You know at least one guy named Sean Pat Whitey Red Bud or Seamus,joy
You have never been to Cheers,joy
You have gone to at least one party at UMass,joy
You own a Yankees Suck shirt or hat,joy
You think Doug Flutie is the greatest athlete ever,joy
You remember exactly where you were when the ball rolled through Buckner's legs,joy
You know how to make a frappe,joy
You actually know how to merge from 6 lanes of traffic down to one,joy
You never go to Cape Cod you go down the Cape,joy
You're aware that there is a town somewhere in Massachusetts named Brimfield where they have the biggest outdoor antique market in the world,joy
You can drive to the mountains and the ocean all in one day,joy
You know that the Mass Pike is some sort of strange weather dividing line,joy
You know that P-Town isn't the name of a new rap group,joy
You do not recognize the letter R as a part of the English language,joy
You keep an ice scraper and can of de-icer on the floor of your car,joy
So ok this happened like week before last but I thought it was funny enough to mention today,joy
So Brandon and I were chilling out one night at home after being out all night and we decided to step out on the patio for a quick smoke,joy
The cops come outta nowhere this time,joy
They all fly off in EVERY direction to find this kid (of course except the direction I said he went),joy
The cops spend more time driving down my road then they probably should,joy
There are moments in our lives when we find ourselves at a crossroad,joy
The choices we make in these moments can define the rest of our days,joy
But once in a while people push on,joy
Into something better,joy
And it's only when you're tested that you discover who you can be,joy
My worst fears have been personified,joy
I have no details,joy
No dates,joy
No times,joy
No nothing,joy
I only know that it could be anytime within the next 60 days,joy
Hey guys!,joy
=P,joy
^_^;,joy
HEY,joy
If you don't know what to get me for christmas get me some socks!!,joy
~Apple ipod socks,joy
As for my diet,joy
Eh,joy
its not that much but hey its something!,joy
^_^,joy
the season is changing,joy
again,joy
a lot of things have happened to me in the past six months since the beginning of summer,joy
though I do not mind this one tiny bit it has been odd for me I'm rarely the strong one,joy
something it seems I am getting more and more used to,joy
didn't see that one coming,joy
now I have no idea what I believe and what I want to do and how I want to spend the rest of my life,joy
well maybe I do,joy
but that scares me even more,joy
and well I got married,joy
I find myself again stuck in a place where I have to rediscover myself all over again,joy
maybe I do,joy
but I don't want to admit that yet,joy
though I think I have,joy
so stay tuned,joy
changes to come,joy
perhaps too much so for 5:15 on a saturday afternoon but hey what can you do,joy
gotta milk those quarter-life crises for all they're worth,joy
don't get another one for 25 more years,joy
I must go now,joy
have a great idea for a new scarf,joy
want to get it done in time for the next snowfall,joy
Well I seem to have done that,joy
I was just scared,joy
I mean,joy
I'm scared of my future,joy
I look around me and you know what I see?,joy
I just can't help it,joy
But then I also think what if they are the right person?,joy
Some people say Katrina do thisothers say Katrina do that,joy
What do I say?,joy
I DON'T KNOW!!!!!!!!!!,joy
Welp today has been a long tiring day lol,joy
lol,joy
He's sleeping now but everytime I lay down and think I will get atleast a couple hours of sleep hes right back up!,joy
lol,joy
He sleeps most of the day and then never sleeps at night,joy
I am not to thrilled about going over there,joy
lol and so we figgured we would just go to Six Flags,joy
HAHA!,joy
thats what you get for rubbing it in my face that your 21 and im not!),joy
LOL,joy
Almost sounds like an EMO song title,joy
Maybe it is I dunno,joy
All I know is that I have no time to do anything anymore,joy
At least the price of gas is going down $199 per gallon across the street now,joy
I'm also working at the YMCA every Monday in October which helps but makes me tired as all get out,joy
The job is still just that,joy
I have a new pic of Melissa and I which I will post shortly,joy
We need a new pic,joy
Bagpiping got moved to one of our together nights so that puts a small damper on the time we see each other for every week,joy
Oh well at least we can make it work without lots of time,joy
It's kinda far from where I am but it is worth it,joy
The indoor range has 8 lanes but is only 15 yards long,joy
We are starting to get some interesting inquiries,joy
Also since I belong to a variety of social organizations it was easy to make concert contacts through them,joy
Who knows where we will be playing in 2007,joy
I have my eyes on a few locations like Kwajalein RMI and Soto Cano-Honduras; with friends in low places we'll probably get those gigs,joy
The list of folks who want a copy of the CD-First Light is being built up one name at a time,joy
Anyone who wants one I will send one,joy
Ha!,joy
Wouldn't that be a gig!?,joy
In the mean time I am going after every venue available,joy
Leaving for Irvine on the 18th for Maiden,joy
See you mates up front of Arrys monitor!,joy
I'm at Penn State for the weekend,joy
