Sentences,label 
(I screened it at VSU in '04 for my faculty advisors and they seemed fairly stunned by it,surprise
Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette,anger
Get 'em and watch alongside Click or New York Minute,fear
On Dad And His Birthday,joy
The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09jpg his fans that he gets every year,joy
What a fabulous gift for dad on his birthday!,joy
Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France,joy
On Ram Gopal VarmaSholay,anger
I think its a wonderful idea to remake Sholay,joy
But I think Ramus Sholay will be a brilliant interpretation of Ramesh uncle (Sippy)s classic,joy
All I can say is knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes,joy
But the rest of it came across as a really angry drunken rant,disgust
If anyone wants to give me a call I'd be more than happy to answer it,joy
My howland friend Alyssa came with me and we danced the night awayMost of my friends went which was awsome,joy
im sitting here listeing to Hinder:Lips of an Angel,joy
which is one of the slow songs I got to dance with one of my friends Nick who graduated Mathews last yearHes awsome we danced alot together!Luvs!,joy
the dance was awsomeThe music was really cool,joy
too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove onlol,joy
I also got to see some howland people I once knew (Drew was one) That was pretty cool!,joy
they need a bigger dance floor lmao,joy
And after the dance Me Lyssa Kayla Matt Mary and Lauren all went bowling for about an hour cause lauren had to be home at a certain time,joy
then Lyssa me matt and Kayla couldn't find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha,joy
it was ammusingheheheBut yea overall I haven't had that much fun in a very long time!!,joy
im done telling you about my wonderful night lol,joy
Ill be puting pics up soon,anger
I can't believe she is FINALLY here!!!,joy
After the doctor on Tuesday I cleaned house played basketball and soccer with Levi then went to Amanda's to sit and talk with her while she moved in,joy
EICON1 Levi is really exciting to be a big brother he thinks she is sooooo cool,joy
I'll be putting more pictures up probably sometime this week so keep your eye out for the AMAZING GRACE!!!,anger
Right now I have my permit I can get my liscence in feb I have a car but I need a job in order to pay for my insurance so I cant drive it yet,joy
My life on the weekdays is tae kwon do its what I was born to do I love I there I love to teach people who want to be taught,joy
it was a tough game to play though,sadness
overall it was a pretty good tournament,joy
and about me I guess?,surprise
I'm always happy with those,joy
had a good chill time with team at dever's house,joy
I woke up once during the dream and was like oh crap no go back and managed to get back to it somehow,disgust
So in the dream there were times where we were both kinda unsure but it was still happy (for the both of us I hope),joy
So yeah I just had to share that,joy
RD Sweet and someone else while that lady was doing my hair,joy
I'm finally reading the amazing adventures of kavalier amp; clay,joy
I got a copy for my birthday,joy
I'm not very far along but I'm quite enjoying it,joy
I'm in Buena Vista at these hot springs and it should be awesome but I didn't sleep one little bit last night,anger
It seriously took my 4 hours to fall asleep for like one half-hour then 10 minutes in between each of those little episodes,sadness
I think the pain and awkwardness of attending your reception is worth seeing your face again,sadness
I'm sitting here in this lobby thing and crying and it's very embarassing but I can't help it because I just want you and me to run away and I want you to hold me for one whole night and rock me to sleep,sadness
Kiss my hair,joy
We get drinks after work too and the food I can eat is awesome,joy
Oh well its nothing too too bad but its making me nervous,fear
Truly horrifying footage of a Disney character orgy backstage at one of their shows,sadness
Well not so much an orgy but really rather amusing!,joy
I just stood there in shock!,anger
My gigantic art history text book is lying open on my bed revealing the Etruscan Art chapter I've been leafing through,joy
Various books on Classical Greek art are stacked about my room waiting to be used for my Classical Civ essay,joy
My parents were either really clever or entirely oblivious towards the humor of my name and my brother's: Jason Greek a mythic hero,joy
Amanda Latin the verb to love,joy
Another slight parallel I find amusing: Jason played Heracles in Alcestes last year just as I am playing Hippolyta in A Midsummer Night's Dream,joy
Sock n' Buskin is a really fun theatre company I'm liking my occaisional rehersal,joy
I spent a couple of hours on a trip last night/this morning in the early am,surprise
The light of the wanning moon was pale but after the rainfall of the evening the wetness gave the darkness a bright shimmering contrast of pale blue silver,sadness
In style of zen Buddhism I say that we are all wrong the monkey is god and apples are the truth,joy
Actually I think I dropped it in a bottomless puddle last night,fear
I'm broke like whoa but I'm still working,sadness
I've been talking to Laura on the phone almost daily and we're both very excited to see that little baby growing inside of her!,joy
I'm missing everyone in Wisconsin with the Blue Stars and sad that I had to leave early,sadness
Hope all is well in your worlds!,joy
Keep It Real And Live Good ,joy
Even though I had began participating more in the Catholic church while in junior high it wasn't until I were about 15 when I began to take a more active role in the church,joy
I remember being so impressed with the youth programs of the other parishes in my area and the stong bond that everyone had withen their own groups regardless of the social status of each person,anger
We began to help serve lunches at the local Loaves amp; Fishes volunteer work for the school at our parish offer lodging for other traveling youth groups,joy
I remember doing endless fundraisers for almost everything we did,anger
There were national events for Catholic youth that were able to attend religious retreats missionary work and myself and a very few others were selected to goto a Christian leadership program that was offered at the time,anger
See the whole time that I was trying to develop my own faith attending events with other parishes and all the work I did with my own group,joy
And sadly,sadness
Everyone has been given a gift in life,joy
Some people are quite talented in the arts some have awesome talent in athletics and some have been gifted with beauty,joy
Simply by just listening to them speak and more often just being in someones presence has been known to have the answer someone is looking for to just dawn on them,joy
How can being popular be a problem?,sadness
It was too much weight for me to carry my own plus everyone elses,joy
I am sitting here with head phones on and listening to music,joy
I can hear it thru the headphones and over the music im listening to,joy
I get a jolt of something REAL loud and it makes me jump,surprise
She is afraid to,fear
I really have alot of hope for my son,joy
I hope that he can learn to play well and I really do hope he is enjoying himself,joy
No matter the pain is may cause the rest of the family ,sadness
As long as he is happy,joy
Perhaps a nice hot bubble bath and a bottle of rum would help,anger
Vegas was a lot of fun,joy
The reception was a friggen blast!,anger
Champagne music and me trying to catch those damn flowers,anger
(didn't catch em by the by) Imagine this: My bro taking his neck tie off of marie's thigh with his teeth while girls just wanna have fun blasts in the background!,surprise
We went shooting in our regular spot out in the desert behind this mountain,anger
As Sean put it it's not like Vietnam where 4 of 5 americans will die so that really put it into perspective for me I know he'll be safe and come home in one piece but the scary thought still kinda lingers in the background of my mind,sadness
Everybody hates everybody everybody lies talks shit behind backs and treats people like shit,anger
My mother truly wants to murder my father and then gets pissed off when I don't agree with her,sadness
ya I'd say that's some fucked up shit,anger
=) It was the perfect end to a crappy day,joy
Basically I just want to focus on staying busy and staying happy,joy
So if you would like to contribute to the make me smile foundation let's party!,joy
after school I went home and got ready to go the the Homecoming parade,joy
that was sooo fun,joy
after the game we went to the dance where I had the best night of my life!!!,joy
I cant even explain in words how much fun I had,anger
I can honestly say that was the best Homecomg ever!!!!,joy
EICON1 at least I had a blast!!!!,anger
I dont know what else to say except that I love spending time w/ Joe,joy
And hanging out w/ Celeste and Matt was totally awesome 2!!!,anger
Love u all!!,joy
Exciting no?,joy
where did we leave off?,surprise
I'll start my narrative with a little anecdote about how small the world really is So I was going to work one day headed to one of the hostels around Berlin to pick people up for the tour and then bring them back to the Brandenburg Gate where the tour starts,anger
I had never been to this particular hostel before and as I entered and gave my little spiel about the tour and asked if anyone wanted to come along I was met not with a roar of enthusiasm from the hostel residents but rather a few dull glass-eyed looks and was generally ignored,joy
As I was preparing to leave one guy over at the computers yelled out for me to wait approached me and said hello,surprise
But it's certainly strange how you randomly run in to people you haven't seen in years in little hole-in-the-walls in Europe,surprise
Fun times,joy
And this particular piece was by far the best play I have EVER seen,joy
It was also incredibly simple cutting the normally huge cast down to only seven performers,anger
My next big adventure was a trip I took to London at the end of May I had never been before and had been planning on this trip for about six months,surprise
I was lucky enough to be able to stay with some friends to cut down on the cost and see a different side of London life,joy
It was sooooo much fun!,joy
The show was trash,sadness
Horrible,anger
Three hours of horror,anger
I wanted to leave at intermission but my date was really enjoying it (should have been a sign) so we stayed,surprise
I guess the one good thing I took from it was that I know now that the British are just as capable as we are of producing really awful work,surprise
That in itself was hilarious and made us love the show even more,joy
I also saw Les Miserables for the first time and it was fun,joy
next time you're in Wellington watch out for the Kiwi Commies!,fear
Now I have a confession to make: before the World Cup began I had actually never seen an entire soccer game from start to finish,surprise
The hordes of people would change from day to day for instance there was a three day period where we had over 90 000 Swedes in the city leading up to their dramatic defeat at the hands of Zeh Germans,fear
Loads of fun,joy
I didn't have tickets to any of the games but my group of friends would always go to a cafe or bar of the nationality that was playing to watch the match,fear
So to a French cafe for the France-Swiss game a Tapas bar when Spain played drank Caiprinhas with the passionate Brazilians etc It was a colorful and hilarious way to take part without fighting the crowds,joy
And let me tell you how good the World Cup was for Berlin as a city and Germany as a nation,joy
Another interesting element was the latent patriotism that emerged during the Cup,anger
You have to understand that the Germans have had a really difficult time with their national identity (and subsequently national pride or patriotism of any kind) since the Second World War,joy
And for what it's worth I agree with them it makes me nervous too,fear
People were genuinely excited about supporting their national team and taking pride in its accomplishments,joy
Now this newfound enthusiasm certainly was not shared by everyone,joy
But the general consensus after five weeks of debate was that the newfound national pride was a positive thing,joy
This camp about 40 miles north of Berlin was the second major camp to be opened in the Nazi system and was also used by the Russians after the war to intern former Nazi's and anyone else deemed an 'enemy of the state',fear
Given the dark history of such a place you can well imagine the difficulty of retelling that information and trying to put it into some kind of historical context,sadness
After a July of beautiful weather and great summer adventures I traveled with my good Australian friend Kurt to a theater festival in Cyprus,joy
The occasion was that a good friend of mine from North Texas Jessica was playing the title role in Medea at a theater festival there,joy
Now this was ridiculous amounts of fun!,anger
The city is a sweaty dirty polluted hole,disgust
Take your impression of a squalor-filled Mediterranean capital and add this to your image: 10 story apartment buildings everywhere in 100 degree heat all cooled by wall-mounted air conditioners aka swamp boxes,fear
Now imagine the condensation from thousands of swamp box coolers pitter pattering on your head as you stroll down the trashy Athens streets,disgust
And the city itself really is lovely in it's own way,joy
We took a day trip out to Sunion the very tip of Greece to see the temple of Poseidon,surprise
It took us about two hours to get out there and then we climbed around and played on the rocks for about an hour taking pics of the magnificent old temple ruin that is literally clinging to the cliff face,fear
And then we watched in amazement with fifty other tourists as the sun went down in front of the temple over the Mediterranean,joy
And of course this just enhanced the magic of the sunset as the red orb of the sun ever so slowly retreated behind the furthest hill,joy
Not bad,anger
We saw Jessica's production of Medea and were treated incredibly well by her colleagues at the festival,joy
They did everything they could to make us feel welcome everything from putting us up in a beautiful hotel refusing to let us pay for anything and making sure that our stay on their island was as enchanting as the stories always make it out to be,joy
We spent pretty much the whole day (outside of a decadent lunch at the beach house) in the water,joy
Tomorrow we'll go somewhere special,joy
The next morning the last day of the festival they piled us all into four wheel drive vehicles and took us off the map to an area that I will henceforth be labeling The Blue Lagoon,joy
Imagine the most incredible horseshoe shaped cove with unimaginably blue water and a giant stone underneath the water hundreds of meters long and wide adding depth to the color,fear
Our hosts had brought along a lunch of fresh fruit and we broke our fast on a cliff overlooking the whole gorgeous expanse,fear
Oh and the food is incredible,joy
Don't ever mistake Haloumi for Feta or you might have a flock of barely intelligible Cypriot grammas spend half an hour pinching your cheek and explaining the difference in broken Greco-English,sadness
The time flew by and before I knew it August was at an end and my doorstep was graced by my best friend Lance who had come to Berlin for my last week,joy
So I spent the next six days in a haze of working my final tours partying and showing Lance the city that I had come to love so much over the last two years,joy
But we didn't let that discourage us,sadness
We went on a walking tour went to the City Museum (located in an old castle very cool) and had a good time relaxing and enjoying the AMAZING views,joy
The city is incredibly beautiful tucked into the Alps and right on the water,joy
I think the most important thing I can say about this city is that all of the rumors: That the city's dirty the people are rude the language barrier is insurmountable the metro is incomprehensible you things will be stolen that they hate Americans,anger
It's called the city of love and light for a reason,joy
The Eiffel Tower is breathtaking and seeing it in person destroys its cliche and makes you fall in love with the thing,joy
The people are absolutely LOVELY,joy
We encountered so many genuinely wonderful helpful content people,joy
Everything from trying to order a baguette in the morning (my Francais is tres terrible) to asking directions or talking to cabbies we were always pleasantly surprised at how open and welcoming they were,anger
And they all seem to really enjoy their city,joy
They know how beautiful it is and they appreciate it,joy
And man it is gorgeous,joy
My favorite part about the city parks were the 'nap chairs',joy
We found out when we headed over to two of these chairs that were situated in the shade and plopped down,joy
They were perfect for taking a catnap,joy
We looked around and noticed that there were lots of people all over the park in the municipal nap chairs taking a snooze,joy
What other city would use tax payer dollars to provide napping chairs in a public park?,sadness
We went to Versailles we went to Notre Dame and on a fabulous bike tour,anger
6 were petty thieves and the seventh was a boy whose father had sent him there for a few weeks as disciplinary measure,disgust
Montmartre the old bohemian artist district five minutes from the Sacre Coeur Cathedral,joy
Every night after dinner we'd climb the hill to the cathedral and sit on the steps,joy
The Cathedral is the highest point in Paris and from its northerly vantage point you have the entire city spread out at your feet,joy
It's a pretty breathtaking sight,joy
On the steps there was always sort of an impromptu party with musicians and performers and other city-watchers gathering with a bottle of wine and a merry spirit,joy
Those evenings on the steps are some of my favorite memories from Paris,joy
Upon arrival back in the states we changed clothes and went directly to a Counting Crows concert which was my birthday present from Lance,joy
What an incredible end to an incredible journey,joy
I was also lucky enough to be hired to direct a show for Frenship high school which went up last Sunday,joy
I'm excited about the move and the opportunities and challenges that await me there,joy
I hope all of you are well; that you have made it through the summer and are excited about the upcoming (rapidly approaching) holiday season!,joy
I'll be in New York for New Year's so if you're going to be in that area let me know and we'll ring it in together,anger
I wish you all a fabulous week and a warm and safe start to the wintry season,joy
All the best till we meet again!,joy
So all-in-all pretty good right?,joy
Honestly while I was dating the child I barely saw him in school,joy
Now I see him all the time and I'm pretty sure he'll be right outside the door my photography room after class every day for the rest of this trimester,anger
Unless Brandon and Meg break up that is Which is unlikely so I shouldn't even hope on that one,surprise
I also found out that Junior year will in fact be a bitch,anger
I have recieved homework in four of my seven classes,fear
AP World is going to be the hardest thing I'll ever do (academically anyway),anger
(You can deal with this Nyssa,joy
You can handle high school drama) Also I have so many friends and all of them are true caring trustworthy friends who love me and are supporting me 100%,joy
This is my year to be happy,joy
This is my year to try new things and to succeed!,joy
This is my first year of loving myself,joy
I also found out that Junior year will in fact be a bitch,anger
I have recieved homework in four of my seven classes,fear
AP World is going to be the hardest thing I'll ever do (academically anyway),anger
(You can deal with this Nyssa,joy
You can handle high school drama) Also I have so many friends and all of them are true caring trustworthy friends who love me and are supporting me 100%,joy
This is my year to be happy,joy
This is my year to try new things and to succeed!,joy
This is my first year of loving myself,joy
I look forward to learning and discovering even more of who I am and loving every inch of it,joy
I cannot believe the nerve of this man God,joy
kill something,sadness
What's even worse it's copied so poorly that the last half inch of text on the far right side of the page is cut off so as I try to read in preparation for the lab tomorrow I'm trying to coherently complete sentences and make sense of it all which is often impossible because so much is left out,sadness
AND we're required to have this new kind of remote control clicker which none of the libraries have for (free) check out so I have to pay $20 (+$1250 activation fee) for something that doesn't work consistently eats batteries and will provide me with 3 and a half months of use,joy
Again makes me so angry,anger
Can you tell I buy books with my own money?,anger
They pay room and board and tuition and that's it,joy
Which is the bulk of my expenses but I'm paying for my food outside of campus meal plan food and my books and whatever else I need,joy
So I guess that counts for something,surprise
I am in such a bad mood and I'm playing the blame game in my head getting angry at people for things that are really quite trivial,anger
Matt and I decided that BME really isn't a good undergrad major there's a reason it's generally proposed as a Master's degree,joy
In addition to that we keep encountering classes where the professor expects you to have taken general classes that you haven't (the anatomy/physiology is one and thermodynamics is another one that Matt is having a problem with),sadness
I need to find a good time/place where I can go pray and unwind,joy
I don't feel like I ever have that kind of privacy where I can talk to God and cry and figure things out EICON2,joy
I always tear up in church too for different reasons EICON2,joy
I love the way God brings people together,joy
Ok I'm feeling somewhat better now,joy
Girls I highly reccomend In Her Shoes especially if you have a sister I'm enjoying it immensely and it has effectively distracted from my schoolwork almost all day,anger
These small indicators remind me that in the Silvia Plath sense of the concept I'm dying EICON2,anger
Someday I will be no more than slime coating the expensive cushiony velvety inside of a coffin EICON2,sadness
The rickety deck I'm sitting on could fall I could catch a stray bullet to the noggin on my way to my car in the parking lot I could be nailed by a drunk inattentive careless or simply unfortunate driver on the way home,sadness
My mortality is nothing new but I constantly have to ponder what I desire to take achieve or feel in this life,anger
destroyed,anger
or do I simply want to live an average American life and be remembered under a large stone in a well kept cemetery forgotten after my immediate reletaves children and grand children EICON2,sadness
Should I travel to faroff places that have interested me? England France Norway Sweden Lebanon Israel the Vatican?,sadness
Or should I sink my money into trying to acquire more and live in a Parade of Homes house with yuppie vehicles in the front a Mastercraft boat with a huge ski rack the list can go on and on,joy
What happens when I die?,sadness
Should I start devoting myself to God if there is such a being in hopes of making it to Heaven?,joy
No wonder past writers were able to produce their amazing feats of feeling and thought,joy
Their distractions were very limited,anger
My thoughts at the moment are somewhat melancholy but can be completely forgotten at the push of a button mounted to an Xbox Dvd player or VCR,sadness
For the laziness in me I feel compelled to fold my laptop plug it in and simply watch but this whole trainwreck a malformed offspring of a feeble mind has to come to an end somehow,fear
The first words that come to mind are in closing or to conclude and then I quickly write a summary of what I just finished writing,anger
Maybe I should stop in mid sentence just to,anger
I am now the proud father of Daisy Alexandria Davolls,joy
I now have a sweet little thing that totally depends on her mum and me to do whats best,joy
I have the foresight of Supernanny and Honey we're killing the kids etc to thank as well as my own morals and my parents and peers too,anger
I had a long hard look at my life over the last 14 days and to be honest I wept EICON2,anger
I still have a couple of vices strong coffee and noodles but have quit smoking havent drunk for a couple of weeks and am feeling better about life,joy
My job is going really well and I am getting a kick out of both going to work and coming home,anger
The pessimist in me awaits the phone call from the police or hospital or nuclear plant etc telling me the worst crushing my hopes of a better tomorrow,fear
what is happiness,joy
I believe all brains start out with the same potential and the way they are grown and shaped determined how they operate on default for the rest of your life unless you do something about it,sadness
Do they know how lucky they are - to find contentment without looking,joy
more often you find things to bring you down or worry about,sadness
A single lightning bolt from the sky can make a lifetime of panic and worry all worthless,fear
True wisdom is growing your brain in all directions,joy
Life is finding the balance between compulsion and carelessness,anger
I am not saying I am anything other then happy - but I strive for a balance,joy
the perfect combination of all attributes,joy
Happiness comes from within - your brain is a self regulating chemical factory,joy
This phenomenon can best be seen and proved with steroid users,joy
as a result - the balls shrink up and shut down,sadness
The body is lazy - if you provide something for it - it stops providing for itself,joy
So while Cliche it is true,joy
Happiness lies within - the only way to be truly happy is to create it yourself and not rely on other people or things,joy
the Happiness they bring is only temporary,joy
Yet often that temporary happiness is more intense then a balanced contentment,joy
It is however usually accompanied by and equal sadness - it is life's way of balancing itself out in the endless pendulum swing of life,sadness
First she is all mad because I haven't called her back in a week,anger
Second of all she is laughing hysterically because she had to put her dog on doggie drugs because the dog learned how to open the window to get out and seems to be jewish because she likes the temple down the road,joy
She didn;t give the dealer a chance to correct the problem she paid a astronomical amount for new tires without telling the dealer and expected the dealer to reimburse her the full amount,surprise
A shock mount was bad,anger
She started questioning my credentials because she drives a school bus for a living and knows what a safe vehicle is Bitch,anger
Bitch,anger
Bitch,anger
Cook up lamb for gyros,joy
As far as I can tell it was a success,joy
Killin me he is He's a great guy and I want to marry him for his kitchen he liked that one hahaha,joy
Well what can I say he has a great kitchen and the best cooking stuff he doesn't even cook,joy
I had Stars Don't Shine stuck in my head earlier and started singing it aloud to try and figure out what song it was until I realized too late that it was Paris Hilton,sadness
Our emotions are a gift from God,joy
But in order to recieve the blessing we must first realize that our emotions are always connected to a need being met or unmet,joy
By listening to our emotions and asking ourselves why we are feeling a particular emotion we can discover an unmet need or a need that has been satisfied,joy
On the otherhand if I feel happy because I have spent time with my family then my need for connection has been met,joy
How many times have we felt angry and as a result insulted judged criticized blamed or physically hurt someone?,anger
We live in a society that has encourages us to stuff our emotions and a society that is by the most part feelings illiterate,disgust
Well for starters become aware of what we are feeling,joy
Once we put our finger on the emotion we are feeling we can then go on to vocalize it,joy
Part of that model involves asking the question I am feeling _______ because I am needing ______,joy
The idea is that Nonviolent communication which focuses on feelings and needs is the language of the heart because it focuses on what is alive in the heart,joy
By stating our feelings and needs to others we avoid blaming and criticizing them,fear
We can then go on to making a request instead of a demand to help ourselves satisfy our now recognized need,anger
When others are angry or upset with us we can also use this technique on them,anger
We can ask them Are you feeling ______ because you are needing _______?,joy
It may be that we need to take a timeout when we feel these feelings to avoid a conflict,fear
For instance if we feel furious it may be better to take a one hour timeout and calm down,anger
Many times in the past we have reacted like a lion when we feel angry or frustrated with others or ourselves,anger
Taking time to focus on our feelings and needs helps us not let the lion out and speak from the heart that language of the giraffe with ourselves and others,fear
- Had one hell of a good vanila milkshake at Hard Rock Cafe lets just say it was a 'satisfying' moment,joy
- Rome was fun with my best friend hanz we managed to run out of money by the end and had mcDs for dinner at Florence,joy
- Yoga at Ibiza was AWESOME didn't want to leave!,surprise
It was sun beach tan great veg,joy
meals beautiful sunset and I manage to pull off the yoga glow by the end of it,joy
- Felt sick eating crappy canteen food but now back into the bad diet of coffee shift work and eating Shwaba on edgware rd,sadness
- Sis was coming for a visit in Nov mom and dad decided to come along so now abit stress booking hotels and restaurants will be depressed when they all leave,sadness
- might be going to hskp as assistance exec hskper (it will be a 9-5 occational weekends) really hope they pick me I had enough of guest these days,joy
don't know what the point in that title is for but neh >> I've been sick today and on the verge of tears_; I don't know why,sadness
I talked to Misha earlier on MSN for the first time since I added her and yeah it was fun I guess,joy
I called Dad a few minutes ago on my cell and they were at her house so I guess she was out of the hospital,surprise
I need to clean my room up but I don't feel up to it,joy
I don't know why I'm just drained of energy and want to cry constantly and for somereason I don't know why,sadness
I don't know what happened to my happiness I woke up feeling down and miserable and infact it's worse,sadness
I'm losing enjoyment out of things I love to do and thats never a good sign,joy
I don't even feel like doing anything right now and I'm having force myself to update this journal,anger
The conversation was funny I mentioned that if the word got out about our plans we'd have to escape the earth to avoid the police HOLY/HOLD the military and etc and yeah XD JC suggested she could try and make a ship but then I suggested we could sneak into NASA and steal a rocket,fear
it was hilarious,joy
But not something to be taken literally we're just insane girls,anger
I'm chatting with someone on Gaia they seem to have a lot in common with me nn it's fun,joy
Cassy said she'll be back Sunday night,anger
I can live with that I wish I had something to do though_; I feel lonely,anger
It's yet another white man insensitivity subject that even has socialists and revolutionaries saying 'hey hold on a second!',joy
I see the words veil and headscarf being used by white Europeans in many contradictory contexts,anger
Whether the French will ever admit it or not they have a serious racism problem - and its aimed mainly at Muslims and Africans,sadness
The Germans have passed similar laws much to the dismay of its large Turkish-Muslim population,anger
The Brits famous for their true melting pot status amongst the Europeans have began treading in this murky water,joy
The well integrated but edgy Muslim community is not so happy about this,joy
And I'm afraid it could get ugly,fear
It shouldn't he added be decided by a group of old white male politicians,joy
Most of the European peasantry covered themselves with a headscarf just a hundred years ago and can still be found in christian villages throughout eastern and southern europe,joy
It is also true that many Muslim cultures in the world 'oblige' their women to wear the veil,joy
France says no head scarves no nothing -- look like a sexy french school girl with your belly button hanging out,anger
It is Europe's largest 'indigenous' Muslim population all of whom are white Europeans and embrace European principles,joy
The Muslims too have yet to seriously address the fears and concerns of 'indigenous' white westerners - who have opened their doors from some of the worlds worst economically and socially oppressed societies,joy
Muslims too need to understand the fears and concerns of secular westerners who now have to deal with strict Islamic rules within their own communities,joy
There is no black and white my friends,joy
Essentially Christian is toggling with what direction musically he wants to pursue (whether that be skyline or not) whereas in light of the confustion I (Mike) have decided to leave the project,surprise
It was not on any bad terms and to be honest I don't know if there still is a Skyline to speak of but as those of you who know US know that I'm pretty focused and content with where I am heading and I've definately got my own timetable in which I plan to do it,joy
The one bad thing is that she got news this morning that her 21 y/o kitty Aunt Becky passed away last night,anger
She knew the kitty was not doing well (she hasn't been for a while now but kept rallying) so it wasn't a shock at all but still sad,anger
She had been looking at having to have her PTS before she leaves for Africa but I guess Aunt Becky had other ideas,surprise
I think Aunt Becky was waiting for my MIL to leave yesterday for her trip here,surprise
Aunt Becky was sent over the bridge in a traditional Anishinaabe (Ojibwe/Chippewa) ceremony,joy
Aagii my MIL's neighbor is of the Bear Clan and is very traditional in her ways,anger
She wrapped Aunt Becky in ceremonial cloth with 4 different herbs and buried her down by the creek that runs behind their homes in Topanga Canyon,sadness
Daddybear refused to let them take the baby!,joy
They still are not sure what is going on with the transplanted kidney as it appears to be peeling like an onion but his potassium and sugar and such are leveling out and he is feeling better,joy
Do you know the feeling?,joy
So last week was the Thanksgiving long weekend and it was sooo sweeeet,joy
My sister came back from university and it was (surprisingly) nice to spend time with her again!!,surprise
Anyways on Monday I got to see some of my favourite people and that was really fun as well EICON1 Go Augustine Inc!,joy
And I believe that God gave me this amazing opportunity for a specific reason and there's no way I'm turning it down,joy
Please just pray for me and the trip and the other people who are going (I'm not sure who yet so I shall keep it on the DL,surprise
I just feel like we're all getting caught in the whirlpool of life (hehe what a funny term) and I just wanted to urge you guys to not forget about checking up on each other,fear
Besides from that random addition by my kooky self I hope you know what I'm trying to get at because I know for me that's how it is I need you guys to help me through!,joy
First of all I would like to say that I am proud of myself,joy
I decided then and there that I would take advantage of the situation and teach the class,joy
On the other hand I did know that today I was to teach a full period lesson to my freshmen for periods 3 amp; 6,joy
I had them answer a question along the lines of how would the mood of the story have been different if Soto wrote this as a child?,joy
And the parents' club decided to pay for our breakfasts so I got a free buffet!,anger
I tried to pay her back but she wouldn't let me So I got a free spiffin' sweet green tie-dyed OVAC shirt too,joy
I was gonna call my best friend and see if she wanted to go but she wasn't there,joy
I thought she was going shopping today,joy
I love skating,joy
I always fall on my ass every five minutes though,sadness
Like most definetely on my top favorite authors list,joy
I love making up stories retelling stories and writing down everything,joy
the thing is my work isn't spectacular,surprise
mine pretty much are bland,joy
What they like to eat what music they like etc And I don't!!,joy
You actually enjoy driving around rotaries,joy
You have driven to New Hampshire on a Sunday in order to get beer,joy
Evacuation Day is a recognized holiday,joy
You think the rest of the country owes you for Thanksgiving and Independence Day,joy
The curse of the Bambino is taught in public schools,anger
You pray for the Red Sox to win the World Series not this season but in your lifetime,joy
You know that Big Dig is also a kind of ice cream you can get at Brigham's,joy
You went to Old Sturbridge Village Plymouth Plantation or both on field trip in grammar school,surprise
You see people like Steven Tyler (Aerosmith) Dicky Barret (The Mighty Mighty Bosstones) and Evan Dando (The Lemonheads) in the local supermarket and it doesn't phase you,anger
